country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Belgium,,,11,,,11.37,10.92,11.75,12.05,18.5,BEL
Haiti,,,,,5.092,8.638,,,13.1,,HTI
Belize,,,,10,,,11.29,,,,BLZ
Sierra Leone,,,,7.027,,,50.56,52.31,,,SLE
Georgia,,,,,,,,19.75,,,GEO
Lao People's Democratic Republic,,,,,,,,3.722,,,LAO
Gambia,,,7,,,,37.46,,,,GMB
Philippines,,,,,,,,8.537,8.666,9.627,PHL
Morocco,,,,,4.918,,20.24,,10.19,,MAR
Croatia,,,,,,,88.02,,76.65,63.64,HRV
Guinea-Bissau,,,,,60.24,13.14,13.14,,,,GNB
Thailand,,,,,,,,4.779,,,THA
Switzerland,,43.46,42.6,43.2,44.23,41.27,42.45,,59.95,,CHE
Grenada,,,,,,,,,,85.11,GRD
Venezuela (Bolivarian Republic of),43,,,,,,48.67,22.64,,,VEN
Iraq,,1.43,1.752,2.072,2.991,5.129,6.515,,,3.191,IRQ
Portugal,,,,,4.651,,7.828,10.67,,,PRT
Estonia,,,,,,6.48,6.03,,3.74,3.328,EST
Uruguay,,,,,,,11.2,,,,URY
Mexico,,,,,,,13.22,14.14,14.48,16.2,MEX
Lebanon,,11.05,,,,28.46,30.29,29.01,,13.04,LBN
Uzbekistan,,,,,,4.448,5.695,7.321,,4.092,UZB
Tunisia,,,,,8.488,10.96,12.81,,15.01,2.81,TUN
Djibouti,,,,12.5,,,84.21,,,,DJI
Antigua and Barbuda,,,,,60,,,63.1,62.61,,ATG
Spain,,,,12,18.43,13.03,15.16,16.58,12.55,15.66,ESP
Colombia,,,,,,,31.85,,26.63,,COL
Burundi,,,,36,,,17.01,,,,BDI
Eswatini,,,1.674,,,,2.303,,,,SWZ
Fiji,,,,20,,,28.03,29.8,,,FJI
Barbados,,,,,,24.69,,24.69,,,BRB
Madagascar,,,,1,,,1.786,2.913,,,MDG
Italy,16.83,,,,,,20.06,,17.58,27.75,ITA
Bhutan,,,,,,,,,5.03,,BTN
Sudan,,,,,,,,,3.528,,SDN
Serbia,,,,,,,,,15.47,12.27,SRB
Nepal,,,,,,,2.114,1.554,,,NPL
Malta,,,,,,87.5,63.94,61.76,37.41,58.62,MLT
Democratic Republic of the Congo,,,,,,,66.65,68.01,,,COD
Netherlands,,,,,16.03,19.47,14.62,11.4,11.35,7.836,NLD
Suriname,,,,6.087,,,4.478,8.005,,,SUR
United Kingdom,,,51.63,61.95,,,46.25,70.36,70.95,73.95,GBR
Israel,15.35,18.84,22.06,,26.72,,37.58,36.44,35.9,42.66,ISR
Iceland,,,87.04,87.5,52.1,,49.09,49.09,31.94,30.77,ISL
Zambia,,,,,17.23,15.83,18.45,,,,ZMB
Senegal,,,,5,,,4.412,,,,SEN
Papua New Guinea,,,,,,,56.93,57,,,PNG
Trinidad and Tobago,,,,,,63.16,63.06,62.03,62,,TTO
Zimbabwe,,,,14.02,,,14.01,11.9,,14.61,ZWE
Germany,,,,,,12.83,13.82,,,17.95,DEU
