country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Denmark,0.72,1.16,1.16,,1.261,0.9015,0.635,0.552,0.6217,0.6715,DNK
Kazakhstan,,,,,,,1.157,1.217,1.133,1.032,KAZ
Poland,1.571,2.832,3.231,3.333,3.03,2.9,2.662,2.671,2.644,1.673,POL
Kyrgyzstan,,,,,,0.636,,0.306,,,KGZ
Latvia,,,,,,,0.1093,0.1016,0.1507,0.0835,LVA
Honduras,,,,,,,,0.164,,,HND
Myanmar,,,,,,,2.991,,,,MMR
Egypt,,,,,,,7.043,,7.5,6.5,EGY
Botswana,,,,,,,0.13,,0.1034,0.1169,BWA
Congo,,,,,,,0.024,,,,COG
Greece,1.087,,1.57,,3.014,,,,5.615,6.854,GRC
Paraguay,,,,,,,,,0.444,,PRY
Namibia,,,,,,0.1165,0.1253,,,,NAM
