country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Switzerland,,2.598,2.589,2.646,2.695,2.559,2.518,,2.005,,CHE
Grenada,,,,,,,,0.01,,0.0141,GRD
Venezuela (Bolivarian Republic of),4.1,,,,,,9.064,22.63,,,VEN
Iraq,,40.56,40.8,41.02,42.8,54.4,66,,,38.55,IRQ
Portugal,,,,,8.6,,11.14,9.151,,,PRT
Estonia,,,,,2.63,1.358,1.413,1.834,1.631,1.785,EST
Uruguay,,,,,,,3.66,,,,URY
Mexico,,,56,,,,72.6,78.95,82.73,87.84,MEX
Lebanon,,0.751,,,,1.293,1.433,1.31,,1.84,LBN
Uzbekistan,,,,,,58.05,60.58,56,,58.9,UZB
Tunisia,,1.07,1.9,2.3,3.075,2.857,2.85,,3.305,4.875,TUN
Djibouti,,,,0.008,,,0.019,,,,DJI
Antigua and Barbuda,,,,,0.005,,,0.0084,0.0115,,ATG
Spain,,36.08,39.92,45.85,36.9,34.6,35.94,35.57,36.64,31.22,ESP
Colombia,,,,,,,7.746,,11.77,,COL
Burundi,,,,0.1,,,0.288,,,,BDI
Eswatini,,,0.657,,,,1.042,,,,SWZ
Fiji,,,,0.03,,,0.0817,0.0849,,,FJI
Barbados,,,,,,0.081,,0.081,,,BRB
Madagascar,,,,16.3,,,13.37,13.56,,,MDG
Italy,41.6,,,,,,45.41,,53.75,34.19,ITA
Bhutan,,,,,,,,,0.338,,BTN
Sudan,,,,,,,,,26.93,,SDN
Serbia,,,,,,,,3.958,4.403,5.377,SRB
Nepal,,,,,,,9.562,9.497,,,NPL
Malta,,,0.02,,,0.056,0.0538,0.0557,0.0401,0.0638,MLT
Democratic Republic of the Congo,,,,,,,0.5841,0.6836,,,COD
Netherlands,,,9.198,9.349,7.983,6.507,8.914,10.95,10.72,16.08,NLD
Suriname,,,,0.46,,,0.67,0.6159,,,SUR
United Kingdom,,,13.51,11.53,12.05,12.12,15.81,8.513,8.214,8.42,GBR
Israel,1.564,1.632,1.7,1.9,1.804,1.812,1.831,1.954,1.919,2.304,ISR
Iceland,,,0.108,0.112,0.167,,0.165,0.165,0.2943,0.26,ISL
Zambia,,,,,1.747,1.706,1.572,,,,ZMB
Senegal,,,,1.36,,,2.221,,,,SEN
Papua New Guinea,,,,,,,0.2714,0.3921,,,PNG
Trinidad and Tobago,,,,,,0.297,0.314,0.345,0.3832,,TTO
Zimbabwe,,,,1.22,,,4.205,3.57,,3.339,ZWE
Germany,,,,,46.27,45.2,39.15,32.3,33.04,24.44,DEU
Denmark,0.72,1.205,1.205,1.705,1.261,0.9325,0.6679,0.5708,0.7285,0.7411,DNK
