country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Ireland,,,1.07,,,1.176,,0.7298,0.757,,IRL
Pakistan,,153.4,,,155.6,,172.6,,183.5,200,PAK
Nigeria,,,,5.59,,,10.31,11.57,12.47,,NGA
Ecuador,,,,,,,9.367,9.916,,,ECU
Australia,,,,,,22.03,21.5,18.51,15.45,15.94,AUS
Algeria,2,2.5,3,3.5,4.436,,5.706,,7.81,9.802,DZA
El Salvador,,,,,0.7289,,1.376,2.118,,,SLV
Czechia,,,,,,2.493,1.908,1.969,1.841,1.63,Czechia
Chile,,,,,20.29,,,35.36,,,CHL
Puerto Rico,,,,,0.7976,,0.8564,0.9984,1.017,0.875,PRI
Belgium,,,9.03,,,7.69,6.735,6.214,5.3,3.994,BEL
Haiti,,,,,0.9799,1.285,,,1.45,,HTI
Belize,,,,0.02,,,0.101,,,,BLZ
Sierra Leone,,,,0.37,,,0.1889,0.2122,,,SLE
Georgia,,,,,,,,1.813,1.823,,GEO
Lao People's Democratic Republic,,,,,,,,3.493,,,LAO
Gambia,,,0.02,,,,0.0905,,,,GMB
Philippines,,,,,,,,81.5,84.25,92.75,PHL
Morocco,,9,10.05,11,11.04,11.26,14.82,,10.35,,MAR
Croatia,,,,,,,0.5735,,0.661,0.6729,HRV
Guinea-Bissau,,,,,0.0166,0.175,0.175,,,,GNB
Thailand,,,,,,,,57.31,,,THA
Switzerland,,2.598,2.589,2.646,2.695,2.559,2.518,,2.005,,CHE
Grenada,,,,,,,,0.01,,0.0141,GRD
Venezuela (Bolivarian Republic of),4.1,,,,,,9.059,22.62,,,VEN
Iraq,,40.56,40.8,41.02,42.8,54.39,65.99,,,38.54,IRQ
Portugal,,,,,8.598,,11.14,9.146,,,PRT
Estonia,,,,,2.63,1.358,1.413,1.834,1.631,1.784,EST
Uruguay,,,,,,,3.66,,,,URY
Mexico,,,55.97,,,,72.3,78.65,81.91,87.84,MEX
Lebanon,,0.751,,,,1.291,1.266,1.096,,1.812,LBN
Uzbekistan,,,,,,53.76,53.74,49.16,,58.9,UZB
Tunisia,,1.07,1.9,2.3,3.067,2.849,2.809,,3.217,4.768,TUN
Djibouti,,,,0.008,,,0.0188,,,,DJI
Antigua and Barbuda,,,,,0.0017,,,0.0051,0.0044,,ATG
Spain,,36.08,39.92,45.85,36.8,34.5,35.51,34.97,34.31,31.22,ESP
Colombia,,,,,,,7.746,,11.77,,COL
Burundi,,,,0.1,,,0.288,,,,BDI
Eswatini,,,0.657,,,,1.042,,,,SWZ
Fiji,,,,0.03,,,0.0817,0.0849,,,FJI
Barbados,,,,,,0.081,,0.07,,,BRB
Madagascar,,,,16.3,,,13.37,13.56,,,MDG
Italy,41.6,,,,,,45.08,,53.75,34.19,ITA
Bhutan,,,,,,,,,0.3379,,BTN
Sudan,,,,,,,,,26.93,,SDN
Serbia,,,,,,,,3.958,4.403,5.377,SRB
Nepal,,,,,,,9.562,9.497,,,NPL
Malta,,,0.02,,,0.0295,0.034,0.0328,0.0401,0.043,MLT
Democratic Republic of the Congo,,,,,,,0.5841,0.6836,,,COD
Netherlands,,,9.198,9.349,7.983,6.507,8.906,10.94,10.72,7.989,NLD
Suriname,,,,0.46,,,0.67,0.6159,,,SUR
United Kingdom,,,13.48,11.5,12.02,12.09,15.78,8.48,8.017,8.42,GBR
Israel,1.542,1.598,1.643,1.72,1.584,1.532,1.543,1.419,1.34,1.198,ISR
Iceland,,,0.108,0.112,0.167,,0.165,0.165,0.294,0.26,ISL
Zambia,,,,,1.747,1.706,1.572,,,,ZMB
Senegal,,,,1.36,,,2.221,,,,SEN
Papua New Guinea,,,,,,,0.2714,0.3921,,,PNG
Trinidad and Tobago,,,,,,0.297,0.314,0.309,0.3362,,TTO
Zimbabwe,,,,1.22,,,4.205,3.57,,3.339,ZWE
Germany,,,,,46.27,45.2,39.11,32.26,32.99,24.44,DEU
Denmark,0.72,1.205,1.205,1.705,1.246,0.9175,0.6529,0.5558,0.7285,0.7411,DNK
