country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Angola,20916,18251,15487,13229,11444,9835,8445,7067,5913,4983,AGO
Chad,11979,10743,9692,8450,7198,6099,5077,4241,3597,3067,TCD
South Africa,2126,1861,1639,1458,1305,1176,1092,1029,968.9,905.4,ZAF
Cyprus,1242,1172,1128,1078,974.3,875.2,798.4,733.1,687.2,661,CYP
Brunei Darussalam,59817,48627,41242,35774,31022,27244,24503,22673,21266,19827,BRN
Qatar,444.4,318,209.1,137.3,117.1,108.5,89.82,48.74,27.49,21.98,QAT
Malaysia,51219,45344,40080,35098,30505,26895,23968,21783,19883,18341,MYS
Austria,10249,10174,10221,10171,9922,9673,9552,9348,9122,8895,AUT
Mozambique,22624,19850,17495,16673,15429,12999,11343,9785,8455,7317,MOZ
Uganda,6017,5239,4511,3829,3222,2749,2337,1965,1655,1402,UGA
Hungary,9975,9777,9705,9928,10040,10088,10228,10375,10537,10697,HUN
Niger,7141,6201,5367,4649,3983,3345,2790,2321,1920,1585,NER
Brazil,86346,76612,68115,61208,55944,51610,47999,45266,43114,41316,BRA
Guinea,52583,51387,48177,42000,33437,27105,24735,22383,20034,17771,GIN
Panama,86629,75789,67165,60095,54076,48809,44236,40330,36920,33984,PAN
Republic of Moldova,,,,,2805,2863,2938,2972,3012,3029,MDA
Costa Rica,58038,51178,44823,39345,34695,30682,27812,25864,24280,23033,CRI
Luxembourg,8541,8452,8393,8353,8229,8087,7888,7373,6574,5998,LUX
Bahamas,3937,3551,3177,2876,2631,2439,2264,2045,1882,1770,BHS
Ireland,17162,15801,14836,14558,14489,14009,13078,11824,11116,10920,IRL
Pakistan,4024,3479,2958,2509,2170,1912,1706,1539,1387,1253,PAK
Nigeria,4879,4258,3694,3249,2856,2521,2224,1955,1711,1499,NGA
Ecuador,68813,59995,52711,46549,41323,37099,33843,31144,28690,26611,ECU
Australia,37001,34765,32711,30268,28137,26641,25263,23488,21558,20123,AUS
Algeria,758.9,659.7,567.2,487.9,429.3,390.5,364.7,340.2,310.7,282.4,DZA
El Salvador,6802,6067,5559,5198,4865,4586,4423,4319,4223,4119,SLV
Czechia,,,,,,1272,1283,1270,1242,1238,Czechia
Solomon Islands,258980,215007,181339,155803,135455,117663,102688,90688,81052,73123,SLB
Chile,93026,85742,79468,73297,67522,62817,59082,55973,53328,51127,CHL
Puerto Rico,2548,2338,2172,2071,1979,1895,1870,1896,1920,1938,PRI
Belgium,1896,1877,1863,1854,1827,1795,1766,1711,1651,1601,BEL
Haiti,2877,2627,2356,2103,1899,1730,1588,1468,1364,1278,HTI
Belize,170833,158613,143432,124670,111837,98060,82876,72822,64538,57993,BLZ
Sierra Leone,57082,51037,45390,39653,36943,37166,32278,26600,23648,21172,SLE
Georgia,,,,,11954,12975,13693,14423,15416,16189,GEO
Lao People's Democratic Republic,117388,106346,98059,85403,74078,65948,60669,56050,51988,48629,LAO
Gambia,16860,14498,12342,9949,8166,7092,6102,5198,4440,3808,GMB
Philippines,12630,10974,9567,8358,7361,6556,5888,5364,4945,4565,PHL
Morocco,1737,1556,1380,1234,1124,1042,982.7,928.7,870,811.4,MAR
Croatia,,,,,22290,23279,23999,24186,24552,25185,HRV
Guinea-Bissau,42347,39908,37709,33277,29539,26610,24266,21715,19170,16873,GNB
Thailand,11228,9875,8902,8128,7583,7206,6845,6626,6465,6353,THA
Switzerland,8533,8437,8436,8190,7850,7544,7385,7077,6661,6312,CHE
Grenada,2129,2218,2148,2012,2058,1978,1959,1931,1896,1855,GRD
Venezuela (Bolivarian Republic of),107846,93785,81861,71862,63705,57334,52147,47848,44325,41436,VEN
Iraq,8477,7211,6224,5516,4868,4178,3603,3165,2742,2348,IRQ
Portugal,8756,8161,7798,7763,7732,7564,7411,7281,7314,7493,PRT
Estonia,,,,,8422,9085,9262,9531,9668,9779,EST
Uruguay,61042,60273,58294,56459,54580,52644,51743,51557,50692,49812,URY
Mexico,8326,7178,6362,5738,5200,4748,4426,4130,3823,3576,MEX
Lebanon,1863,1728,1711,1685,1596,1456,1278,1102,916,740.4,LBN
Uzbekistan,,,,,2279,2061,1923,1791,1654,1531,UZB
Tunisia,872.7,780.2,685.3,600,536.4,491.8,467.9,448.1,423.9,400.2,TUN
Djibouti,1674,1081,778.6,611.9,487.7,453.9,402,370.6,340.4,313.5,DJI
Antigua and Barbuda,751.7,713.5,717.7,766.5,759.9,668.9,602.8,569.1,537.3,509.8,ATG
Spain,3208,3033,2910,2855,2822,2778,2656,2456,2380,2405,ESP
Colombia,101957,91102,81304,73011,66369,61069,56769,53183,50340,48098,COL
Burundi,3538,3282,2894,2514,2215,2052,1860,1579,1345,1154,BDI
Eswatini,9551,8199,7056,5882,4978,4492,4172,3963,3614,3299,SWZ
Fiji,52598,47719,42727,39559,38348,36007,35001,34200,32681,31530,FJI
Barbados,331.4,321.5,315.2,310.6,305.1,299.7,294.7,289.6,284.1,280,BRB
Madagascar,48510,42136,36496,31649,27396,23488,20101,17341,15080,13179,MDG
Italy,3522,3426,3373,3351,3345,3345,3310,3225,3203,3223,ITA
Bhutan,298742,254487,220418,189848,178739,153177,133575,113537,103586,96582,BTN
Sudan,,,,,,,,,1050,932.6,SDN
Serbia,,,,,,,,17756,18109,18451,SRB
Nepal,16817,15094,13468,12024,10630,9388,8557,8018,7602,7173,NPL
Malta,157.7,154.9,148.8,142.1,136.3,130.4,125.8,123.1,120,117.2,MLT
Democratic Republic of the Congo,60748,52912,46289,40691,34354,29272,25744,21962,18600,15773,COD
Netherlands,6846,6550,6366,6198,6000,5813,5649,5513,5420,5342,NLD
Suriname,266631,274238,271978,258014,234153,217105,204969,194232,184323,175719,SUR
United Kingdom,2627,2613,2611,2592,2557,2519,2477,2394,2288,2221,GBR
Israel,586.7,506.5,458.4,422.2,370.1,316.1,285.3,257.1,231.2,213.9,ISR
Iceland,809909,764732,728676,687981,653344,623396,595864,557012,522273,507463,ISL
Zambia,23445,19707,16619,14189,12399,10841,9424,8235,7129,6131,ZMB
Senegal,8612,7509,6583,5653,4853,4237,3748,3282,2844,2459,SEN
Papua New Guinea,301128,263487,229185,200350,176587,155383,136643,120851,107792,97079,PNG
Trinidad and Tobago,3964,3692,3426,3213,3104,3045,3005,2934,2861,2805,TTO
Zimbabwe,3613,3076,2590,2152,1872,1708,1600,1500,1360,1210,ZWE
Germany,1952,1957,1976,1973,1924,1890,1887,1893,1900,1875,DEU
Denmark,1202,1177,1171,146.2,1160,1137,1117,1097,1069,1046,DNK
Kazakhstan,,,,,6577,6957,7176,6843,6406,5955,KAZ
Poland,1825,1750,1670,1612,1584,1570,1572,1578,1579,1585,POL
Eritrea,,,,,,2314,2024,1761,1604,1443,ERI
Kyrgyzstan,,,,,5303,5019,4733,4551,4222,3907,KGZ
Sri Lanka,4061,3699,3406,3172,2976,2858,2770,2665,2585,2529,LKA
Latvia,,,,,13336,14244,14983,15889,16912,17918,LVA
South Sudan,,,,,,,,,4576,3936,SSD
Guyana,375398,355456,346902,357756,362251,356345,360420,362348,359846,348374,GUY
Côte d'Ivoire,14666,11607,9303,7635,6392,5447,4845,4408,3928,3463,CIV
Honduras,31978,27486,23564,20291,17561,15286,13429,11956,10835,9947,HND
Myanmar,42197,37503,33450,30202,28002,26323,24777,23753,22908,21885,MMR
Equatorial Guinea,88859,105391,89470,66632,57130,47741,39016,31352,25024,20505,GNQ
Egypt,1568,1402,1240,1084,957.8,869.2,792.1,722.9,654.8,589.4,EGY
Nicaragua,64510,55313,47875,42364,37982,34364,31806,29790,27990,26455,NIC
Singapore,278.9,259.2,238.3,212.8,188.1,164.4,145.2,126.8,113.8,105.1,SGP
Democratic People's Republic of Korea,5073,4593,4284,3970,3685,3454,3306,3188,3104,3027,PRK
Botswana,16478,13724,11375,9684,8407,7473,6876,6395,5859,5340,BWA
Timor-Leste,12866,12915,13592,11744,10200,9421,8893,7714,7100,6339,TLS
Congo,573398,493183,426448,369942,322856,280891,244203,209256,179581,158145,COG
Greece,7799,7391,6977,6794,6545,6240,6098,6010,6012,6129,GRC
Paraguay,149326,132129,115177,99820,87480,77871,70394,65002,60793,56937,PRY
Namibia,48119,42046,37794,32030,26361,22689,20341,19188,17628,15750,NAM
Comoros,5017,4349,3671,3186,2750,2390,2107,1870,1658,1474,COM
