country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Puerto Rico,,,,,4.9,,3.365,1.776,1.543,3.466,PRI
Belgium,,,4,,,0.2081,0.5669,0.5935,0.5983,1.127,BEL
Haiti,,,,,94.36,90.97,,,83.38,,HTI
Belize,,,,90,,,67.72,,,,BLZ
Sierra Leone,,,,88.92,,,24.19,21.54,,,SLE
Georgia,,,,,,,,58.19,,,GEO
Lao People's Democratic Republic,,,,,,,,91.41,,,LAO
Gambia,,,91,,,,43.31,,,,GMB
Philippines,,,,,,,,82.44,80.61,73.28,PHL
Morocco,,,,,92.21,87.78,74.56,,87.79,,MAR
Croatia,,,,,,,1.029,,1.285,10.63,HRV
Guinea-Bissau,,,,,36.14,82.29,82.29,,,,GNB
Thailand,,,,,,,,90.37,,,THA
Switzerland,,,,,,,1.986,,7.985,,CHE
Grenada,,,,,,,,,,14.89,GRD
Venezuela (Bolivarian Republic of),46,,,,,,43.8,73.84,,,VEN
Iraq,,97.46,97.48,97.51,92.01,83.99,78.79,,,91.49,IRQ
Portugal,,,,,59.3,,78.7,,,,PRT
Estonia,,,,,,0.5891,2.123,0.4144,0.2759,0.2521,EST
Uruguay,,,,,,,86.61,,,,URY
Mexico,,,,,,,77.27,76.72,76.57,76.05,MEX
Lebanon,,84.95,,,,67.67,64.2,59.54,,38.04,LBN
Uzbekistan,,,,,,93.66,90.43,90,,92.29,UZB
Tunisia,,,,,88.72,85.61,75.96,,80,77.39,TUN
Djibouti,,,,87.5,,,15.79,,,,DJI
Antigua and Barbuda,,,,,20,,,15.48,15.65,,ATG
Spain,,,,62.01,64.23,67.66,64.11,65.17,69.51,65.21,ESP
Colombia,,,,,,,63.52,,54.3,,COL
Burundi,,,,64,,,77.08,,,,BDI
Eswatini,,,95.89,,,,96.55,,,,SWZ
Fiji,,,,60,,,61.2,58.89,,,FJI
Barbados,,,,,,67.65,,67.65,,,BRB
Madagascar,,,,99.02,,,97.23,95.87,,,MDG
Italy,61.54,,,,,,44.07,,,49.72,ITA
Bhutan,,,,,,,,,94.08,,BTN
Sudan,,,,,,,,,96.21,,SDN
Serbia,,,,,,,,3.239,14.18,12.29,SRB
Nepal,,,,,,,97.47,98.14,,,NPL
Malta,,,,,,12.5,35.13,36.45,60.1,39.81,MLT
Democratic Republic of the Congo,,,,,,,12.31,10.52,,,COD
Netherlands,,,,,2.305,3.535,0.5901,0.6566,0.5616,0.4757,NLD
Suriname,,,,89.13,,,92.54,70,,,SUR
United Kingdom,,,,,5.544,14.22,8.273,15.62,12.77,14.05,GBR
Israel,79.86,76.1,72.65,,67.41,,55.76,57.78,57.32,54.21,ISR
Iceland,,,3.704,3.571,41.92,,42.42,42.42,0.1019,0.1154,ISL
Zambia,,,,,76.65,77.26,73.28,,,,ZMB
Senegal,,,,91.99,,,92.98,,,,SEN
Papua New Guinea,,,,,,,0.3685,0.255,,,PNG
Trinidad and Tobago,,,,,,5.253,5.414,4.348,4.358,,TTO
Zimbabwe,,,,79.02,,,78.91,82.07,,82.96,ZWE
Germany,,,,,3.458,3.54,2.912,0.4077,0.6383,1.226,DEU
Denmark,25,38.17,38.17,41.06,36.88,39.57,24.73,20.59,25.57,44.08,DNK
Kazakhstan,,,,,,81.41,68.12,63.39,58.39,61.84,KAZ
Poland,16.63,12.28,8.744,9.787,10.23,8.461,9.446,9.327,9.599,10.1,POL
Eritrea,,,,,,,70.15,94.5,,,ERI
Kyrgyzstan,,,,,,94.11,93.75,93.01,,,KGZ
Sri Lanka,,,,,96.01,,92.24,87.34,,,LKA
Latvia,,,,,,8.612,20.76,23.19,15.68,33.96,LVA
South Sudan,,,,,,,,,36.47,,SSD
Guyana,,,,,98.49,,97.56,,94.33,,GUY
Côte d'Ivoire,,,,67,,64.94,42.58,38.43,,51.64,CIV
Honduras,,,,,,,,73.3,,,HND
Myanmar,,,,98.58,,,88.99,,,,MMR
