country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Central African Republic,141,141,141,141,141,141,141,141,141,141,CAF
Mauritius,2.751,2.751,2.751,2.751,2.751,2.751,2.751,2.751,2.751,2.751,MUS
Belarus,,,,,57.9,57.9,57.9,57.9,57.9,57.9,BLR
Mali,120,120,120,120,120,120,120,120,120,120,MLI
Sweden,174,174,174,174,174,174,174,174,174,174,SWE
Bulgaria,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,BGR
Romania,212,212,212,212,212,212,212,212,212,212,ROU
Angola,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,AGO
Chad,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,TCD
South Africa,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,ZAF
Cyprus,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,CYP
Brunei Darussalam,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,BRN
Qatar,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,QAT
Malaysia,580,580,580,580,580,580,580,580,580,580,MYS
Austria,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,AUT
Mozambique,217.1,217.1,217.1,217.1,217.1,217.1,217.1,217.1,217.1,217.1,MOZ
Uganda,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,60.1,UGA
Hungary,104,104,104,104,104,104,104,104,104,104,HUN
Niger,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,NER
Brazil,8647,8647,8647,8647,8647,8647,8647,8647,8647,8647,BRA
Guinea,226,226,226,226,226,226,226,226,226,226,GIN
Panama,139.3,139.3,139.3,139.3,139.3,139.3,139.3,139.3,139.3,139.3,PAN
Republic of Moldova,,,,,12.27,12.27,12.27,12.27,12.27,12.27,MDA
Costa Rica,113,113,113,113,113,113,113,113,113,113,CRI
Luxembourg,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,LUX
Bahamas,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,BHS
Ireland,52,52,52,52,52,52,52,52,52,52,IRL
Pakistan,246.8,246.8,246.8,246.8,246.8,246.8,246.8,246.8,246.8,246.8,PAK
Nigeria,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,286.2,NGA
Ecuador,442.4,442.4,442.4,442.4,442.4,442.4,442.4,442.4,442.4,442.4,ECU
Australia,492,492,492,492,492,492,492,492,492,492,AUS
Algeria,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,DZA
El Salvador,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,26.27,SLV
Czechia,,,,,,13.15,13.15,13.15,13.15,13.15,Czechia
Solomon Islands,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,SLB
Chile,923.1,923.1,923.1,923.1,923.1,923.1,923.1,923.1,923.1,923.1,CHL
Puerto Rico,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,PRI
Belgium,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,BEL
