country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Romania,2017,1919,1855,1818,1813,1872,1939,2015,2101,2154,ROU
Angola,20860,18202,15446,13193,11413,9808,8422,7048,5897,4969,AGO
Chad,3932,3526,3181,2774,2363,2002,1666,1392,1181,1007,TCD
South Africa,1855,1623,1430,1272,1138,1026,952.7,898,845.3,789.9,ZAF
Cyprus,1242,1172,1128,1078,974.3,875.2,798.4,733.1,687.2,661,CYP
Brunei Darussalam,59817,48627,41242,35774,31022,27244,24503,22673,21266,19827,BRN
Qatar,429.1,307,201.9,132.6,113,104.8,86.73,47.06,26.54,21.22,QAT
Malaysia,51219,45344,40080,35098,30505,26895,23968,21783,19883,18341,MYS
Austria,7255,7202,7235,7200,7023,6847,6762,6617,6457,6297,AUT
Mozambique,10452,9171,8083,7703,7128,6006,5240,4520,3906,3381,MOZ
Uganda,3905,3400,2927,2485,2091,1784,1516,1275,1074,909.9,UGA
Hungary,575.5,564.1,559.9,572.8,579.2,582,590.1,598.6,607.9,617.2,HUN
Niger,734.1,637.4,551.7,477.9,409.4,343.8,286.7,238.6,197.4,163,NER
Brazil,56529,50156,44593,40071,36626,33788,31424,29635,28226,27049,BRA
Guinea,52583,51387,48177,42000,33437,27105,24735,22383,20034,17771,GIN
Panama,84950,74320,65863,58930,53028,47863,43379,39548,36205,33325,PAN
Republic of Moldova,,,,,370.3,378.1,387.8,392.3,397.6,399.9,MDA
Costa Rica,58038,51178,44823,39345,34695,30682,27812,25864,24280,23033,CRI
Luxembourg,2440,2415,2398,2387,2351,2311,2254,2107,1878,1714,LUX
Bahamas,3937,3551,3177,2876,2631,2439,2264,2045,1882,1770,BHS
Ireland,16172,14889,13980,13718,13653,13200,12324,11141,10475,10290,IRL
Pakistan,896.7,775.2,659.1,559.2,483.5,426.1,380.2,343,309.1,279.2,PAK
Nigeria,3767,3288,2853,2508,2205,1947,1718,1509,1321,1158,NGA
Ecuador,68813,59995,52711,46549,41323,37099,33843,31144,28690,26611,ECU
Australia,37001,34765,32711,30268,28137,26641,25263,23488,21558,20123,AUS
Algeria,731.6,636,546.8,470.4,413.9,376.4,351.6,328,299.5,272.3,DZA
El Salvador,4047,3610,3307,3093,2894,2729,2631,2569,2512,2451,SLV
Czechia,,,,,,1272,1283,1270,1242,1238,Czechia
Solomon Islands,258980,215007,181339,155803,135455,117663,102688,90688,81052,73123,SLB
Chile,89187,82203,76188,70272,64736,60225,56644,53662,51127,49017,CHL
Puerto Rico,2548,2338,2172,2071,1979,1895,1870,1896,1920,1938,PRI
Belgium,1243,1231,1222,1216,1198,1177,1158,1122,1083,1050,BEL
Haiti,2668,2436,2185,1950,1761,1604,1473,1361,1264,1185,HTI
Belize,119969,111387,100726,87550,78538,68863,58200,51139,45322,40726,BLZ
Sierra Leone,57082,51037,45390,39653,36943,37166,32278,26600,23648,21172,SLE
Georgia,,,,,10972,11909,12569,13238,14150,14859,GEO
Lao People's Democratic Republic,67019,60714,55984,48758,42292,37651,34637,32000,29680,27763,LAO
Gambia,6322,5437,4628,3731,3062,2660,2288,1949,1665,1428,GMB
Philippines,12630,10974,9567,8358,7361,6556,5888,5364,4945,4565,PHL
Morocco,1737,1556,1380,1234,1124,1042,982.7,928.7,870,811.4,MAR
Croatia,,,,,7965,8319,8576,8643,8774,9000,HRV
Guinea-Bissau,21578,20336,19215,16956,15052,13559,12365,11065,9768,8598,GNB
Thailand,5747,5054,4557,4160,3882,3689,3504,3391,3309,3252,THA
Switzerland,6443,6371,6370,6185,5928,5697,5577,5344,5030,4766,CHE
Grenada,2129,2218,2148,2012,2058,1978,1959,1931,1896,1855,GRD
Venezuela (Bolivarian Republic of),65522,56979,49734,43660,38704,34833,31682,29070,26929,25174,VEN
Iraq,3321,2825,2438,2161,1907,1637,1411,1240,1074,919.7,IRQ
Portugal,4299,4007,3828,3811,3796,3713,3638,3575,3591,3679,PRT
Estonia,,,,,8356,9014,9190,9457,9592,9702,EST
Uruguay,32683,32272,31212,30230,29223,28187,27704,27605,27142,26671,URY
Mexico,7372,6356,5633,5081,4604,4204,3919,3657,3385,3167,MEX
Lebanon,1986,1842,1824,1796,1701,1552,1362,1175,976.4,789.2,LBN
Uzbekistan,,,,,762,689,643,598.7,553.1,512,UZB
Tunisia,793.3,709.2,623,545.4,487.6,447,425.3,407.4,385.3,363.8,TUN
Djibouti,1674,1081,778.6,611.9,487.7,453.9,402,370.6,340.4,313.5,DJI
Antigua and Barbuda,751.7,713.5,717.7,766.5,759.9,668.9,602.8,569.1,537.3,509.8,ATG
Spain,3199,3025,2903,2847,2814,2771,2649,2450,2373,2399,ESP
Colombia,92669,82803,73897,66359,60322,55505,51597,48338,45754,43717,COL
