country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Ecuador,,,,,,,8.076,8.076,,,ECU
Australia,,,,,,15.5,15.03,12.24,9.587,10.5,AUS
Algeria,,,2.22,,2.7,,3.502,,4.99,6.671,DZA
El Salvador,,,,,0.336,,0.76,1.431,,,SLV
Czechia,,,,0,0,0.02,0.0187,0.0298,0.0432,0.0466,Czechia
Chile,,,,,,,,29.42,,,CHL
Puerto Rico,,,,,0.2063,,0.1306,0.0739,0.0641,0.1135,PRI
Belgium,,,0.3612,,,0.016,0.0382,0.0369,0.036,0.045,BEL
Haiti,,,,,0.9246,1.169,,,1.209,,HTI
Belize,,,,0.018,0.019,0.02,0.0684,,,,BLZ
Sierra Leone,,,,0.329,0.0457,,0.0457,0.0457,,,SLE
Georgia,,,,,,,,1.055,,,GEO
Lao People's Democratic Republic,,,,,,,,3.193,,7.02,LAO
Gambia,,,0.0182,,,,0.0392,,,,GMB
Philippines,,,,,,,,67.19,67.91,67.97,PHL
Morocco,,,,,10.18,9.884,11.05,,9.156,,MAR
Croatia,,,,,,,0.0059,0.0032,0.0086,0.076,HRV
Guinea-Bissau,,,,,0.006,0.144,0.144,,,,GNB
Thailand,,,,,,,,51.79,,,THA
Switzerland,,,,,,,0.05,,0.1601,,CHE
Grenada,,,,,,0.0022,,,,0.0021,GRD
Venezuela (Bolivarian Republic of),1.886,,,,,,3.97,16.71,16.71,,VEN
Iraq,,39.53,39.77,40,39.38,45.69,52,,,35.27,IRQ
Portugal,,,,,5.1,10,8.767,,,,PRT
Estonia,,,,,,0.008,0.03,0.0076,0.0045,0.0045,EST
Uruguay,,,,,,,3.17,,,,URY
Mexico,,,,,,62.5,56.1,60.57,63.35,66.8,MEX
Lebanon,,0.638,,,,0.875,0.92,0.78,,0.7,LBN
Uzbekistan,,,,,,54.37,54.78,50.4,,54.36,UZB
Tunisia,,,,,2.728,2.446,2.165,,2.644,3.773,TUN
Djibouti,,,,0.007,,,0.003,,,,DJI
Antigua and Barbuda,,,,,0.001,0.0013,,0.0013,0.0018,,ATG
Spain,,,,28.43,23.7,23.41,23.04,23.18,25.47,20.36,ESP
Colombia,,,,,,3.308,4.92,,6.391,,COL
Burundi,,,,0.064,,,0.222,,,,BDI
Eswatini,,,0.63,,,,1.006,,,,SWZ
Fiji,,,,0.018,,,0.05,0.05,,,FJI
Barbados,,,,,0.0548,0.0548,,0.0548,,,BRB
Madagascar,,,,16.14,,,13,13,,,MDG
Italy,25.6,,,,,,20.01,12.89,,17,ITA
Bhutan,,,,,,,,,0.318,,BTN
Sudan,,,,,,,,,25.91,,SDN
Serbia,,,,,,,,0.1282,0.6245,0.6608,SRB
Nepal,,,,,,,9.32,9.32,,,NPL
Malta,,,,,,0.007,0.0189,0.0203,0.0241,0.0254,MLT
Democratic Republic of the Congo,,,,,,0.083,0.0719,0.0719,,,COD
