country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Ecuador,,,,,,,0.3852,0.549,,,ECU
Australia,,,,,,,2.227,2.332,2.688,2.662,AUS
Algeria,,,0.12,,0.68,,0.5,,0.415,0.191,DZA
El Salvador,,,,,0.147,,0.2369,0.213,,,SLV
Czechia,,,,,,1.514,,,,0.9672,Czechia
Chile,,0.84,,,2.211,,2.324,4.744,,,CHL
Puerto Rico,,,,,3.435,,3.041,3.184,3.15,2.365,PRI
Belgium,,,7.676,,,6.8,5.964,5.45,5.256,3.21,BEL
Haiti,,,,,0.0054,0.0046,,,0.051,,HTI
Belize,,,,0,,,0.0212,,,,BLZ
Sierra Leone,,,,0.015,,,0.0477,0.0555,,,SLE
Georgia,,,,,,,0.1952,0.4,,,GEO
Lao People's Democratic Republic,,,,0.099,,,,0.17,,,LAO
Gambia,,,0.0004,,,,0.0174,0.0212,,,GMB
Philippines,,,,,,2.296,2.907,7.348,9.037,15.85,PHL
Morocco,,,,,0.322,,0.766,,0.212,,MAR
Croatia,,,,,,,0.0628,,0.1477,0.184,HRV
Guinea-Bissau,,,,,0.0006,0.008,0.008,0.0119,,,GNB
Thailand,,,1.123,1.297,1.436,,,2.777,,,THA
Switzerland,,,,,,,,,0.6427,,CHE
Grenada,,,,,,,,,,0,GRD
Venezuela (Bolivarian Republic of),0.451,,,,,,0.6831,0.7933,,,VEN
Iraq,,0.45,0.31,0.17,2.14,5.92,9.7,,,2.05,IRQ
Portugal,,,,,3.1,,1.497,,,,PRT
Estonia,,,,,2.253,1.262,,,1.565,1.721,EST
Uruguay,,,,,,,0.08,,,,URY
Mexico,,,,,,,6.9,7.22,7.403,6.814,MEX
Lebanon,,0.03,,,,0.05,0.0789,0.15,,0.9,LBN
Uzbekistan,,,,,,1.103,2.35,1.5,,2.13,UZB
Tunisia,,,,,0.086,0.098,0.11,,0.165,0.965,TUN
Djibouti,,,,0,,,0,,,,DJI
Antigua and Barbuda,,,,,0.001,,,0.0018,0.0025,,ATG
Spain,,,,11.92,6.4,6.68,7.447,6.495,6.572,5.966,ESP
Colombia,,,,,,,0.359,,2.242,3.73,COL
Burundi,,,,0,,,0.017,0.015,,,BDI
Eswatini,,,0.016,,,,0.012,0.0207,,,SWZ
Fiji,,,,0.006,,,0.0088,0.0096,,,FJI
Barbados,,,,,,0.0062,,0.0062,,,BRB
Madagascar,,,,0,,,0.1308,0.1619,,,MDG
Italy,9,12.09,15.17,13.84,12.5,,16.29,,,7.7,ITA
Bhutan,,,,0.002,,,,,0.003,,BTN
Sudan,,,,,,,,,0.075,,SDN
Serbia,,,,,,,,,3.097,4.057,SRB
Nepal,,,,,,0.005,0.0404,0.0295,,,NPL
Malta,,,,0,,0,0.0005,0.001,0.001,0.001,MLT
Democratic Republic of the Congo,,,,,0.058,,0.1229,0.1468,,,COD
Netherlands,,,,,6.519,5.01,7.558,9.629,9.446,14.74,NLD
Suriname,,,,0.022,,,0.02,0.1355,,,SUR
United Kingdom,,,,,,,7.19,1.193,1.122,1.01,GBR
Israel,0.075,0.0825,0.09,,0.106,,0.122,0.113,0.13,0.072,ISR
Iceland,,,0.01,0.01,0.01,,0.014,0.014,0.2,0.198,ISL
Zambia,,,,,0.107,0.118,0.13,,,,ZMB
Senegal,,,,0.041,,,0.058,,,,SEN
Papua New Guinea,,,,0.022,,,0.1159,0.1676,,,PNG
Trinidad and Tobago,,,,,,0.0938,0.099,0.116,0.1289,,TTO
Zimbabwe,,,,0.085,,,0.298,0.215,,0.0814,ZWE
Germany,,,,,,37.8,32.6,,,19.75,DEU
Denmark,0.08,0.045,0.045,0.33,0.225,,0.0619,0.0423,0.141,0.0329,DNK
Kazakhstan,,,,,,5.678,4.811,5.807,6.417,6.984,KAZ
Poland,,,,,9.18,9.425,,,7.651,7.035,POL
Eritrea,,,,,,,0.0617,0.001,,,ERI
Kyrgyzstan,,,,,,0.289,0.31,0.336,,,KGZ
Sri Lanka,,,,,0.195,,0.5136,0.831,,,LKA
Latvia,,,,,,,,0.0426,0.0563,0.0252,LVA
South Sudan,,,,,,,,,0.225,,SSD
Guyana,,,,,0.007,,0.01,0.0204,0.0204,,GUY
Côte d'Ivoire,,,,0.078,,0.27,0.2696,0.318,,0.242,CIV
Honduras,,,,,0.076,,,0.114,,,HND
Myanmar,,,,0.1188,,,0.3323,0.4984,,,MMR
Equatorial Guinea,,,,0.0013,,,0.0026,0.003,,,GNQ
Egypt,,,,,,4.429,4,,1.2,5.4,EGY
Nicaragua,,,,,,,0.027,0.0736,0.0736,,NIC
Singapore,,0.0969,,,,,0.994,1.221,,,SGP
Democratic People's Republic of Korea,,,,2.27,,,1.088,1.145,,,PRK
Botswana,,,,,0.023,0.0275,0.035,0.0389,0.0363,0.0234,BWA
Timor-Leste,,,,,,,0.0044,0.002,,,TLS
Congo,,,,0.0108,,,0.01,0.024,,,COG
Greece,,0.1148,,0.24,,0.2339,,0.3255,0.126,0.2083,GRC
Paraguay,,,,0.0301,,,0.04,,0.154,,PRY
Namibia,,,,,0.008,0.0105,0.014,,,,NAM
Comoros,,,,,,,0.0005,,,,COM
