country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Czechia,,,,,,241.1,186.1,190.1,173.9,153.5,Czechia
Chile,,,,,1484,,,2148,,,CHL
Puerto Rico,,,,,1174,,1022,1111,1123,894.1,PRI
Belgium,,,919.5,,,754.4,650.1,581.1,542.9,349.5,BEL
Haiti,,,,,132.7,158.4,,,140.9,,HTI
Belize,,,,114.7,,,385.2,,,,BLZ
Sierra Leone,,,,91.7,,,38.11,35.28,,,SLE
Georgia,,,,,,,,412.9,443.8,,GEO
Lao People's Democratic Republic,,,,,,,,587.1,,,LAO
Gambia,,,30.85,,,,69.03,,,,GMB
Philippines,,,,,,,,912.7,869.7,884,PHL
Morocco,,482.9,478.2,468.1,428.1,404.7,502.2,,312.9,,MAR
Croatia,,,,,,,130.5,,155.8,170.7,HRV
Guinea-Bissau,,,,,15.62,148.3,135.2,,,,GNB
Thailand,,,,,,,,865.8,,,THA
Switzerland,,409.7,408.2,405.1,395.5,360.8,347.6,,249.6,,CHE
Grenada,,,,,,,,96.53,,130.8,GRD
Venezuela (Bolivarian Republic of),333.7,,,,,,356.7,817.2,,,VEN
Iraq,,3255,2826,2518,2319,2529,2646,,,1007,IRQ
Portugal,,,,,859.1,,1067,860.9,,,PRT
Estonia,,,,,1729,963.1,1022,1365,1231,1363,EST
Uruguay,,,,,,,1100,,,,URY
Mexico,,,771.3,,,,695.7,705.9,684.7,680.1,MEX
Lebanon,,288.2,,,,418,406.8,320.6,,302.5,LBN
Uzbekistan,,,,,,2448,2384,2052,,1846,UZB
Tunisia,,180.9,282.2,299,357.4,304.5,288.9,,303.6,422.7,TUN
Djibouti,,,,16.32,,,25.46,,,,DJI
Antigua and Barbuda,,,,,73.07,,,91.92,118.8,,ATG
Spain,,981.4,1042,1174,933.8,862.2,856,783.6,782,673.5,ESP
Colombia,,,,,,,186.3,,251.1,,COL
Burundi,,,,20.05,,,42.72,,,,BDI
Eswatini,,,1028,,,,963.9,,,,SWZ
Fiji,,,,41.57,,,100.2,101.7,,,FJI
Barbados,,,,,,303.5,,293.3,,,BRB
Madagascar,,,,1531,,,797.5,697.7,,,MDG
Italy,765.8,,,,,,785.6,,899.8,576,ITA
Bhutan,,,,,,,,,448.9,,BTN
Sudan,,,,,,,,,748.3,,SDN
Serbia,,,,,,,,433.3,491.6,611.6,SRB
Nepal,,,,,,,389.2,362.3,,,NPL
Malta,,,58.94,,,144.6,134.1,135.8,95.29,148.1,MLT
Democratic Republic of the Congo,,,,,,,11.72,11.7,,,COD
Netherlands,,,643.4,636.7,526.4,415.6,553.3,663.4,638.5,943.9,NLD
Suriname,,,,1199,,,1387,1208,,,SUR
United Kingdom,,,240,203.3,209.6,207.7,266.4,138.6,127.8,127.2,GBR
Israel,515.5,464.4,437.8,450.7,375.1,321.7,293.5,282.2,249.3,276.9,ISR
Iceland,,,462.9,453.3,641.8,,578.3,540.6,904.1,776.1,ISL
Zambia,,,,,206.7,176.5,141.4,,,,ZMB
Senegal,,,,197.3,,,213.6,,,,SEN
Papua New Guinea,,,,,,,46.3,59.16,,,PNG
Trinidad and Tobago,,,,,,235.5,245.7,263.6,285.5,,TTO
Zimbabwe,,,,131.3,,,336.4,267.8,,202,ZWE
Germany,,,,,578,554.6,479.7,397.1,407.6,297.6,DEU
Denmark,144.3,236.4,235.2,41.54,243.8,176.7,124.3,104.4,129.8,129.2,DNK
Kazakhstan,,,,,,2161,1474,1440,1264,1343,KAZ
Poland,305,391.4,417.8,437.1,350.6,332.1,304.8,313.9,299.6,264.1,POL
Eritrea,,,,,,,114.4,140.1,,,ERI
Kyrgyzstan,,,,,,2144,2020,1543,,,KGZ
Sri Lanka,,,,,550.6,,682.6,653.7,,,LKA
Latvia,,,,,,170.4,109.9,99.23,125.9,92.87,LVA
South Sudan,,,,,,,,,60.82,,SSD
Guyana,,,,,1952,,2181,,1919,,GUY
Côte d'Ivoire,,,,64.34,83.57,79.76,81.13,81.16,,47.83,CIV
Honduras,,,,,,,,208.5,,,HND
Myanmar,,,,730.7,,,704.9,,,,MMR
Equatorial Guinea,,,,25.63,,,26.11,,,,GNQ
Egypt,,1175,,,,889.9,940.9,,823.3,794.4,EGY
Nicaragua,,,,,,,268.4,,262.9,,NIC
Singapore,,82.07,,,,,,,,115.5,SGP
Democratic People's Republic of Korea,,,,,,,,357.7,,,PRK
Botswana,,,,71.2,77.61,87.55,109,,93.01,84.21,BWA
Timor-Leste,,,,,,,,1100,,,TLS
Congo,,,,17.79,,,13.5,,,,COG
Greece,485.1,462,514.1,545.9,769.1,793.3,825.4,846.1,873.2,1007,GRC
Paraguay,,,,110.7,,,88.95,,378.3,,PRY
Namibia,,,,112.4,164.5,155.2,146.8,,,,NAM
Comoros,,,,,,,17.56,,,,COM
