country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Romania,23839,23839,23839,23839,23839,23839,23839,23839,23839,23840,ROU
Angola,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,AGO
Chad,128400,128400,128400,128400,128400,128400,128400,128400,128400,128400,TCD
South Africa,121909,121909,121909,121909,121909,121909,121909,121909,121909,121909,ZAF
Tokelau,1,1,1,1,1,1,1,1,1,1,TKL
Cyprus,925,925,925,925,925,925,925,925,925,925,CYP
Brunei Darussalam,577,577,577,577,577,577,577,577,577,577,BRN
Qatar,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,QAT
Malaysia,33080,33080,33080,33080,33080,33080,33080,33080,33080,33034,MYS
Austria,8388,8388,8388,8388,8388,8388,8388,8388,8388,8388,AUT
Mozambique,79938,79938,79938,79938,79938,79938,79938,79938,79938,78638,MOZ
Uganda,24155,24155,24155,24155,24155,24155,24155,24155,24155,24155,UGA
Hungary,9303,9303,9303,9303,9303,9303,9303,9303,9303,9303,HUN
Niger,126700,126700,126700,126700,126700,126700,126700,126700,126700,126700,NER
Brazil,851577,851577,851577,851577,851577,851577,851577,851577,851577,851577,BRA
Faroe Islands,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,FRO
Guinea,24586,24586,24586,24586,24586,24586,24586,24586,24586,24586,GIN
Panama,7542,7542,7542,7542,7542,7542,7542,7542,7542,7542,PAN
Republic of Moldova,,,,,3376,3384,3384,3385,3385,3385,MDA
Costa Rica,5110,5110,5110,5110,5110,5110,5110,5110,5110,5110,CRI
Luxembourg,,,,,,,259,259,259,259,LUX
Bahamas,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,BHS
Ireland,7028,7028,7028,7028,7028,7028,7028,7028,7028,7028,IRL
Pakistan,79610,79610,79610,79610,79610,79610,79610,79610,79610,79610,PAK
Palau,46,46,46,46,46,46,46,46,46,46,PLW
Nigeria,92377,92377,92377,92377,92377,92377,92377,92377,92377,92377,NGA
Ecuador,28356,28356,28356,28356,28356,28356,25637,25637,25637,25637,ECU
Australia,774122,774122,774122,774122,774122,774122,774122,774122,774122,774122,AUS
Algeria,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,DZA
El Salvador,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,SLV
Tuvalu,3,3,3,3,3,3,3,3,3,3,TUV
Czechia,,,,,,7887,7887,7887,7887,7887,Czechia
Solomon Islands,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,SLB
Marshall Islands,18,18,18,18,18,18,18,18,18,18,MHL
Chile,75610,75610,75610,75610,75610,75610,75610,75610,75610,75670,CHL
Puerto Rico,887,887,887,887,887,887,887,887,887,887,PRI
Belgium,,,,,,,3053,3053,3053,3053,BEL
Kiribati,81,81,81,81,81,81,81,81,81,81,KIR
Haiti,2775,2775,2775,2775,2775,2775,2775,2775,2775,2775,HTI
Belize,2297,2297,2297,2297,2297,2297,2297,2297,2297,2297,BLZ
Sierra Leone,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230,SLE
Georgia,,,,,6970,6970,6970,6970,6970,6970,GEO
Lao People's Democratic Republic,23680,23680,23680,23680,23680,23680,23680,23680,23680,23680,LAO
Gambia,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,GMB
